Albertaʠ,"",2974807,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,2696826,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,1171841,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
British Columbiaʠ,"",3907738,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,3724500,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,1643969,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Manitobaʠ,"",1119583,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,1113898,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,477085,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
New Brunswick,"",729498,,738133,,313609,
Newfoundland and Labrador,"",512930,,551792,,227570,
Northwest Territories,"",37360,,39672,Adjusted figure due to boundary change.,14669,
Nova Scotia,"",908007,,909282,,403819,
Nunavut,"",26745,,24730,Adjusted figure due to boundary change.,8177,
Ontarioʠ,"",11410046,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,10753573,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,4556240,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Prince Edward Island,"",135294,,134557,,55992,
Quebecʠ,"",7237479,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,7138795,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,3230196,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Saskatchewanʠ,"",978933,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,990237,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.,431628,Excludes Census data for one or more incompletely enumerated Indian reserves or Indian settlements.
Yukon Territory,"",28674,,30766,,13793,
